id,title,time_list,place_list,identifier_list,concept
1,시내실내데이트1영화,"[[12:00, 13:00], [13:00, 16:00], [16:00, 18:00], [18:00, 19:30], [19:30, 20:30], [20:30, 21:00]]","[변검마라탕, 핸즈커피 대구다운타운점, 롯데시네마 동성로점, 인투 동성로점, 아트박스 대구중앙점, 포토이즘컬러드 동성로점]","[main, sub, main, main, sub, sub]",indoor
2,시내실내데이트2보카,"[[13:00, 14:00], [14:00, 18:00], [18:00, 18:30], [18:30, 19:00], [19:00, 20:30]]","[돈카춘 대구 동성로직영점, 히어로보드게임카페 동성로점, 락휴 코인노래연습장 대구 동성로점, 모노맨션 동성로점, 다나]","[main, main, sub, sub, main]",indoor
3,시내실내데이트3그림,"[[12:00, 13:00], [13:30, 16:00], [16:00, 19:00], [19:00, 20:30], [20:30, 21:00]]","[오디너리 무드, 성수미술관, 디저트39 대구동성로점, 청년다방 대구동성로점, 포토그레이 동성로점]","[main, main, sub, main, sub]",experience
4,시내실내데이트4쇼핑,"[[12:00, 13:00], [13:00, 14:30], [14:30, 16:00], [16:00, 17:30], [17:30, 18:00], [18:00, 19:00], [19:00, 21:00]]","[와라이라멘, 원더플레이스 동성로FSS점, 미들썬, 코인몬스터 코인노래연습장 대구동성로점, 올리브영 대구동성로광장점, 에이바이트키친 동성로, 글루미]","[main, main, main, sub, sub, main, main]",shopping
5,시내실내데이트5스포츠,"[[12:00, 13:00], [13:00, 14:00], [14:00, 18:00], [18:00, 19:00], [19:00, 19:30]]","[대판장 동성로점, 스페어클럽 볼링장, 볼륨업PC방, 락휴 코인노래연습장 대구 동성로점, 포토그레이 동성로 2호점]","[main, main, main, sub, sub]",activity
6,시내실내데이트6스포츠,"[[12:00, 13:00], [13:00, 14:00], [14:00, 16:00], [16:00, 18:00], [18:00, 19:00], [19:00, 19:30]]","[동성로쭈꾸미, 셜록홈즈 동성로점, 준당구장, 락휴 코인노래연습장 대구 동성로점, 봉대박찜닭 동성로점, 모노맨션 동성로점]","[main, main, main, sub, main, sub]",activity
7,수성구실내데이트1,"[[17:00, 18:00], [18:00, 19:00], [19:00, 22:00]]","[동전가왕코인노래연습장, 후후카레, 헤이트먼데이 범어점]","[sub, main, main]",indoor
8,경대데이트1,"[[18:00, 19:00], [19:00, 21:00], [21:00, 22:30]]","[낭만놀이, 코펜하겐커피 본점, 경북대학교 대구캠퍼스KNU센트럴파크]","[main, main, sub]",healing
9,경산배드민턴데이트1,"[[12:00, 15:00], [15:30, 18:00], [18:30, 19:30]]","[카카오PC 정평, THE 동원배드민턴클럽, 정곰탕 직영점]","[main, main, main]",healing
10,경산남매지데이트1,"[[12:00, 13:00], [13:00, 16:00], [19:00, 20:00], [20:00, 22:00]]","[라라코스트 경산점, 파스쿠찌 경산중방DI점, 덕담 경산점, 남매지]","[main, sub, main, main]",healing
11,영남대데이트1,"[[18:00, 19:00], [19:00, 21:00], [21:00, 22:00]]","[비비비 영대점, 다눌보드게임카페, 영남대학교 경산캠퍼스]","[main, main, sub]",healing
12,수성못데이트1,"[[12:00, 13:00], [13:00, 16:00], [16:00, 18:00], [18:00, 21:00], [21:00, 22:00]]","[우각정식당 수성못점, 포켓, 수성못, 와글라스, 수성못]","[main, sub, main, main, sub]",healing
13,계대데이트1,"[[18:00, 19:00], [19:00, 21:00], [21:00, 22:00]]","[보울돈까스 성서계대본점, 슬로우터틀 계대점, 계명대학교 성서캠퍼스]","[main, sub, sub]",healing
14,삼덕동데이트1,"[[12:00, 13:00], [13:00, 14:30], [14:30, 15:00], [15:00, 19:00], [19:00, 19:30], [19:30, 21:00]]","[가온밀면 김광석거리점, 김광석다시그리기길, 신천, 사이커피 신천, 신천, 서양면옥]","[main, main, sub, main, sub, main]",photo
15,삼덕동데이트2,"[[18:00, 19:00], [19:00, 21:00], [21:00, 22:00]]","[몬도카츠, 열음, 신천]","[main, main, sub]",healing
16,서문야시장데이트1,"[[13:00, 14:00], [14:00, 18:00], [18:00, 19:00], [19:30, 22:00]]","[라미아에밀리, 스타벅스 대구계산점, 청라언덕, 서문야시장]","[main, sub, sub, main]",culture
17,대명데이트1,"[[17:00, 18:00], [18:00, 19:00], [19:00, 22:00]]","[대쿠이 본점, 통통동전노래연습장 대명동 계대점, 루프앤]","[main, sub, main]",healing
18,시내맛집데이트1,"[[11:00, 13:00], [13:00, 16:00], [16:00, 18:00], [18:00, 20:00]]","[동아식당, 카페 루시드, 스파크랜드, 전원돈까스]","[main, main, sub, main]",food
19,경대데이트2,"[[18:00, 19:00], [19:00, 21:00], [21:00, 22:00]]","[면탐정 경대점, 커피와빵 경대북문본점, 테크런 대구점]","[sub, sub, main]",activity
20,미술관데이트1,"[[11:00, 12:00], [12:30, 16:00], [16:00, 18:00], [18:30, 19:30]]","[마마플레이트 범어점, 대구박물관, 스타벅스 국립대구박물관DT점, 후후카레]","[main, main, sub, main]",culture
